grid.id	species	interview.1	interview.2	interview.3	interview4	high.no1	high.no2	high.no3	high.no4	freq.months	interview.id.1	interview.id.2	interview.id.3	interview.id.4	det.hist
783	OPH	0	0	0	NA	NA	NA	NA	NA	NA	TM.O.11	TM.O.12	TM.O.13	NA	000
783	RNH	2	0	0	NA	NA	NA	NA	NA	NA	TM.O.11	TM.O.12	TM.O.13	NA	200
804	GH	0	0	0	NA	NA	NA	NA	NA	NA	WI.O.1	WI.O.2	WI.O.3	NA	000
804	WH	0	0	0	NA	NA	NA	NA	NA	NA	WI.O.1	WI.O.2	WI.O.3	NA	000
804	OPH	0	0	0	NA	NA	NA	NA	NA	NA	WI.O.1	WI.O.2	WI.O.3	NA	000
804	RNH	2	2	0	NA	NA	5	NA	NA	1,7,12	WI.O.1	WI.O.2	WI.O.3	NA	220
814	GH	0	0	2	NA	NA	NA	25	NA	NA	TR.O.11	TR.O.12	TR.O.22	NA	002
814	WH	0	0	0	NA	NA	NA	NA	NA	NA	TR.O.11	TR.O.12	TR.O.22	NA	000
814	OPH	0	0	0	NA	NA	NA	NA	NA	NA	TR.O.11	TR.O.12	TR.O.22	NA	000
814	RNH	0	0	0	NA	NA	NA	NA	NA	NA	TR.O.11	TR.O.12	TR.O.22	NA	000
875	GH	0	0	0	NA	0	0	0	NA	NA	TR.O.11	TR.O.12	TR.O.13	NA	000
875	WH	0	0	0	NA	NA	NA	NA	NA	NA	TR.O.11	TR.O.12	TR.O.13	NA	000
875	OPH	0	0	0	NA	NA	NA	NA	NA	NA	TR.O.11	TR.O.12	TR.O.13	NA	000
875	RNH	0	0	2	NA	NA	NA	NA	NA	12	TR.O.11	TR.O.12	TR.O.13	NA	002
878	GH	0	0	0	NA	NA	NA	NA	NA	NA	LY.O.11	LY.O.12	LY.O.2	NA	000
878	WH	0	0	0	NA	NA	NA	NA	NA	NA	LY.O.11	LY.O.12	LY.O.2	NA	000
878	OPH	0	0	0	NA	NA	NA	NA	NA	NA	LY.O.11	LY.O.12	LY.O.2	NA	000
